x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1
119,349,434,0,1333,349,823,0,-0.014113095116353
121,349,435,0,1330,349,817,0,-0.014113095116353
119,349,433,0,1312,349,811,0,0.004283897765446
111,349,433,0,1326,349,822,0,0.004725132689354
114,349,431,0,1328,349,811,0,0.004725132689354
115,349,432,0,1338,349,819,0,0.003550194827463
119,349,433,0,1324,349,814,0,0.003550194827463
115,349,432,0,1332,349,821,0,0.003130516131949
116,349,431,0,1328,349,821,0,0.003130516131949
116,349,431,0,1337,349,823,0,0.004020453196071
118,349,438,0,1315,349,816,0,0.003444800154081
120,349,435,0,1340,349,818,0,0.003452941837569
119,349,434,0,1341,349,835,0,0.003452941837569
121,349,434,0,1351,349,826,0,0.003188111095648
120,349,434,0,1340,349,834,0,0.003188111095648
118,349,433,0,1333,349,823,0,0.003410379498618
122,349,432,0,1337,349,823,0,0.003410379498618
115,349,432,0,1350,349,829,0,0.002848240716067
116,349,433,0,1341,349,826,0,0.00288293722871
124,349,434,0,1348,349,823,0,0.003602314050914
123,349,435,0,1359,349,834,0,0.0030845264596
118,349,435,0,1333,349,831,0,0.00341683094252
127,349,434,0,1363,349,845,0,0.00341683094252
117,349,437,0,1348,349,834,0,0.002812357600057
127,349,435,0,1366,349,846,0,0.001843825386278
123,349,435,0,1360,349,842,0,0.001843825386278
122,349,436,0,1359,349,843,0,0.001630411260779
119,349,437,0,1348,349,833,0,0.000658285743963
128,349,430,0,1350,349,826,0,0.000668842891439
122,349,437,0,1357,349,831,0,0.000668842891439
124,349,437,0,1345,349,845,0,0.000215959288819
121,349,435,0,1351,349,847,0,0.000215959288819
115,349,436,0,1360,349,842,0,-0.012911988776216
122,349,437,0,1347,349,834,0,0.001256667344564
119,349,439,0,1350,349,838,0,0.001483149570239
124,349,441,0,1368,349,844,0,0.001483149570239
122,349,439,0,1359,349,851,0,0.000652208232446
123,349,438,0,1363,349,843,0,0.001282983537871
119,349,436,0,1367,349,854,0,-0.006958837265351
125,349,439,0,1336,349,831,0,-0.006958837265351
121,349,437,0,1371,349,854,0,0.000189496674198
122,349,434,0,1366,349,846,0,0.000189496674198
118,349,437,0,1372,349,855,0,0.001133812683129
121,349,439,0,1377,349,853,0,-0.013106112162061
122,349,439,0,1361,349,844,0,0.001155412395218
123,349,438,0,1357,349,838,0,0.001750292427943
123,349,439,0,1364,349,855,0,0.002476728736623
119,349,436,0,1352,349,846,0,-0.012864421141734
126,349,432,0,1345,349,831,0,0.001329314878122
122,349,434,0,1345,349,834,0,0.002542884657526
122,349,435,0,1364,349,840,0,0.00195572618834
120,349,435,0,1353,349,846,0,0.002238764798502
124,349,434,0,1377,349,862,0,0.001899754976667
128,349,433,0,1376,349,857,0,4.89377489150205E-05
123,349,437,0,1382,349,852,0,0.00054440448628
118,349,436,0,1374,349,848,0,0.000834916390818
122,349,431,0,1365,349,846,0,0.001378024375577
116,349,438,0,1350,349,840,0,0.002447249203474
123,349,435,0,1355,349,847,0,0.002436897633004
120,349,435,0,1356,349,842,0,0.001841739584987
122,349,436,0,1345,349,839,0,0.001841739584987
119,349,435,0,1362,349,844,0,0.001251556215814
123,349,437,0,1373,349,845,0,-0.01278404794367
123,349,432,0,1354,349,851,0,-0.01278404794367
124,349,432,0,1375,349,867,0,0.000764432522721
121,349,431,0,1354,349,835,0,0.001151838765842
117,349,443,0,1378,349,854,0,-0.011999803905077
129,349,429,0,1346,349,840,0,0.001707372392598
121,349,433,0,1335,349,829,0,-0.013340661029704
119,349,432,0,1344,349,830,0,0.002283192783594
116,349,431,0,1341,349,828,0,0.004186636421263
117,349,430,0,1352,349,834,0,0.004440816915152
114,349,430,0,1333,349,825,0,0.004440816915152
112,349,435,0,1346,349,826,0,0.004131959106615
111,349,431,0,1336,349,824,0,0.003775778073003
116,349,432,0,1364,349,836,0,0.003775778073003
123,349,431,0,1345,349,829,0,0.004177477843694
120,349,429,0,1352,349,837,0,0.004177477843694
122,349,436,0,1368,349,842,0,0.00334568694914
123,349,436,0,1340,349,833,0,-0.012567789650033
122,349,431,0,1347,349,836,0,-0.012567789650033
119,349,442,0,1367,349,837,0,0.00264178527948
121,349,438,0,1359,349,846,0,0.002369268349014
121,349,439,0,1350,349,843,0,-0.013671378373806
127,349,434,0,1363,349,840,0,0.002397851230678
127,349,433,0,1326,349,818,0,0.00203356373759
122,349,433,0,1339,349,836,0,-0.014767032123025
118,349,436,0,1358,349,846,0,0.0034050723861
122,349,432,0,1342,349,834,0,-0.010294104380346
118,349,434,0,1350,349,841,0,-0.010294104380346
118,349,434,0,1356,349,830,0,0.00237260839207
118,349,433,0,1358,349,838,0,0.00478014573795
121,349,432,0,1340,349,829,0,0.00478014573795
118,349,431,0,1365,349,830,0,-0.009836117283091
120,349,434,0,1340,349,828,0,0.00466124200862
